# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Thrust (N)
35.195,320.82,-14.8,-0.48093,4877.6,0
35.245,320.08,-14.824,-0.51319,4877.6,0
35.295,319.34,-14.851,-0.56221,4877.6,0
35.345,318.6,-14.88,-0.6042,4877.6,0
35.395,317.85,-14.911,-0.60886,4877.6,0
35.445,317.11,-14.942,-0.63856,4877.6,0
35.495,316.36,-14.974,-0.6326,4877.6,0
35.545,315.61,-15.005,-0.61785,4877.6,0
35.595,314.86,-15.036,-0.6231,4877.6,0
35.645,314.1,-15.067,-0.59651,4877.6,0
35.695,313.35,-15.095,-0.54465,4877.6,0
35.745,312.59,-15.122,-0.52986,4877.6,0
35.795,311.84,-15.148,-0.48972,4877.6,0
35.845,311.08,-15.171,-0.45155,4877.6,0
35.895,310.32,-15.193,-0.43003,4877.6,0
35.945,309.56,-15.214,-0.39326,4877.6,0
35.995,308.8,-15.232,-0.33229,4877.6,0
36.045,308.04,-15.248,-0.29662,4877.6,0
36.095,307.27,-15.261,-0.23467,4877.6,0
36.145,306.51,-15.272,-0.19594,4877.6,0
36.195,305.75,-15.28,-0.13226,4877.6,0
36.245,304.98,-15.286,-0.1282,4877.6,0
36.295,304.22,-15.292,-0.088114,4877.6,0
36.345,303.45,-15.296,-0.070501,4877.6,0
36.395,302.69,-15.299,-0.067225,4877.6,0
36.445,301.92,-15.302,-0.044169,4877.6,0
36.495,301.16,-15.304,-0.024476,4877.6,0
36.545,300.39,-15.305,-0.024052,4877.6,0
36.595,299.63,-15.306,-0.020349,4877.6,0
36.645,298.86,-15.307,-0.023565,4877.6,0
36.695,298.1,-15.309,-0.053541,4877.6,0
36.745,297.33,-15.311,-0.041223,4877.6,0
36.795,296.57,-15.313,-0.039951,4877.6,0
36.845,295.8,-15.316,-0.059406,4877.6,0
36.895,295.04,-15.319,-0.081937,4877.6,0
36.945,294.27,-15.324,-0.12835,4877.6,0
36.995,293.5,-15.333,-0.21238,4877.6,0
37.045,292.74,-15.345,-0.26404,4877.6,0
37.095,291.97,-15.359,-0.28333,4877.6,0
37.145,291.2,-15.374,-0.31742,4877.6,0
37.195,290.43,-15.391,-0.38548,4877.6,0
37.245,289.66,-15.411,-0.41014,4877.6,0
37.295,288.89,-15.432,-0.44676,4877.6,0
37.345,288.12,-15.456,-0.50055,4877.6,0
37.395,287.34,-15.483,-0.56225,4877.6,0
37.445,286.57,-15.511,-0.57387,4877.6,0
37.495,285.79,-15.541,-0.61011,4877.6,0
37.545,285.02,-15.572,-0.65305,4877.6,0
37.595,284.24,-15.606,-0.69267,4877.6,0
37.645,283.45,-15.641,-0.71744,4877.6,0
37.695,282.67,-15.678,-0.74386,4877.6,0
37.745,281.89,-15.715,-0.76101,4877.6,0
37.795,281.1,-15.754,-0.78818,4877.6,0
37.845,280.31,-15.794,-0.81111,4877.6,0
37.895,279.52,-15.835,-0.80132,4877.6,0
37.945,278.73,-15.874,-0.77734,4877.6,0
37.995,277.93,-15.912,-0.74378,4877.6,0
38.045,277.14,-15.95,-0.75601,4877.6,0
38.095,276.34,-15.987,-0.72812,4877.6,0
38.145,275.54,-16.023,-0.70354,4877.6,0
38.195,274.74,-16.057,-0.67931,4877.6,0
38.245,273.93,-16.09,-0.63564,4877.6,0
38.295,273.13,-16.121,-0.60391,4877.6,0
38.345,272.32,-16.151,-0.58603,4877.6,0
38.395,271.51,-16.179,-0.54408,4877.6,0
38.445,270.7,-16.205,-0.49875,4877.6,0
38.495,269.89,-16.229,-0.45943,4877.6,0
38.545,269.08,-16.251,-0.41061,4877.6,0
38.595,268.27,-16.27,-0.36762,4877.6,0
38.645,267.45,-16.287,-0.32126,4877.6,0
38.695,266.64,-16.302,-0.27557,4877.6,0
38.745,265.82,-16.315,-0.24182,4877.6,0
38.795,265.01,-16.327,-0.21308,4877.6,0
38.845,264.19,-16.336,-0.15123,4877.6,0
38.895,263.37,-16.342,-0.09986,4877.6,0
38.945,262.56,-16.347,-0.09015,4877.6,0
38.995,261.74,-16.351,-0.063725,4877.6,0
39.045,260.92,-16.354,-0.057188,4877.6,0
39.095,260.1,-16.356,-0.048553,4877.6,0
39.145,259.29,-16.358,-0.041918,4877.6,0
39.195,258.47,-16.361,-0.041788,4877.6,0
39.245,257.65,-16.362,-0.030272,4877.6,0
39.295,256.83,-16.363,-0.013336,4877.6,0
39.345,256.01,-16.364,-0.027654,4877.6,0
39.395,255.19,-16.366,-0.035234,4877.6,0
39.445,254.38,-16.368,-0.027098,4877.6,0
39.495,253.56,-16.369,-0.039997,4877.6,0
39.545,252.74,-16.372,-0.058447,4877.6,0
39.595,251.92,-16.375,-0.068598,4877.6,0
39.645,251.1,-16.379,-0.099038,4877.6,0
39.695,250.28,-16.385,-0.12823,4877.6,0
39.745,249.46,-16.392,-0.15431,4877.6,0
39.795,248.64,-16.4,-0.17024,4877.6,0
39.845,247.82,-16.409,-0.18804,4877.6,0
39.895,247,-16.419,-0.21139,4877.6,0
39.945,246.18,-16.43,-0.2417,4877.6,0
39.995,245.36,-16.443,-0.2569,4877.6,0
40.045,244.54,-16.457,-0.30474,4877.6,0
40.095,243.71,-16.472,-0.31281,4877.6,0
40.107,243.51,-16.272,20.198,4877.6,0
40.118,243.34,-16.072,19.349,4877.6,0
40.129,243.17,-15.873,18.513,4877.6,0
40.14,243,-15.676,17.691,4877.6,0
40.151,242.82,-15.481,16.884,4877.6,0
40.163,242.63,-15.287,16.095,4877.6,0
40.176,242.44,-15.096,15.349,4877.6,0
40.189,242.25,-14.906,14.618,4877.6,0
40.202,242.05,-14.719,13.903,4877.6,0
40.216,241.84,-14.534,13.197,4877.6,0
40.231,241.63,-14.351,12.465,4877.6,0
40.246,241.41,-14.171,11.748,4877.6,0
40.262,241.18,-13.994,11.046,4877.6,0
40.279,240.95,-13.819,10.372,4877.6,0
40.297,240.71,-13.647,9.717,4877.6,0
40.315,240.46,-13.479,9.0779,4877.6,0
40.335,240.2,-13.314,8.4665,4877.6,0
40.355,239.92,-13.153,7.8741,4877.6,0
40.377,239.64,-12.996,7.3042,4877.6,0
40.399,239.35,-12.843,6.769,4877.6,0
40.423,239.05,-12.696,6.251,4877.6,0
40.448,238.73,-12.553,5.66,4877.6,0
40.475,238.4,-12.416,5.082,4877.6,0
40.504,238.04,-12.285,4.5559,4877.6,0
40.535,237.67,-12.16,4.0526,4877.6,0
40.567,237.27,-12.043,3.5827,4877.6,0
40.602,236.85,-11.934,3.1473,4877.6,0
40.639,236.41,-11.833,2.7406,4877.6,0
40.679,235.94,-11.741,2.2622,4877.6,0
40.723,235.43,-11.661,1.8646,4877.6,0
40.769,234.89,-11.59,1.5146,4877.6,0
40.818,234.32,-11.53,1.2164,4877.6,0
40.871,233.72,-11.481,0.94854,4877.6,0
40.927,233.07,-11.444,0.65107,4877.6,0
40.989,232.37,-11.423,0.34457,4877.6,0
41.056,231.6,-11.417,0.084891,4877.6,0
41.13,230.76,-11.427,-0.14366,4877.6,0
41.208,229.86,-11.449,-0.27807,4877.6,0
41.294,228.87,-11.489,-0.46012,4877.6,0
41.39,227.77,-11.548,-0.61819,4877.6,0
41.493,226.58,-11.616,-0.66424,4877.6,0
41.605,225.27,-11.695,-0.70487,4877.6,0
41.726,223.85,-11.782,-0.71804,4877.6,0
41.861,222.26,-11.881,-0.7343,4877.6,0
42.017,220.4,-11.998,-0.74736,4877.6,0
42.199,218.2,-12.126,-0.70752,4877.6,0
42.418,215.52,-12.265,-0.63187,4877.6,0
42.676,212.34,-12.392,-0.49182,4877.6,0
42.966,208.74,-12.489,-0.33487,4877.6,0
43.354,203.88,-12.586,-0.25029,4877.6,0
43.854,197.57,-12.655,-0.13711,4877.6,0
44.354,191.23,-12.672,-0.034778,4877.6,0
44.854,184.89,-12.684,-0.023975,4877.6,0
45.354,178.55,-12.689,-0.0094627,4877.6,0
45.854,172.21,-12.689,2.4709e-4,4877.6,0
46.354,165.86,-12.686,0.0057054,4877.6,0
46.854,159.52,-12.682,0.0072135,4877.6,0
47.354,153.18,-12.678,0.0075531,4877.6,0
47.854,146.84,-12.674,0.0078574,4877.6,0
48.354,140.51,-12.671,0.0077298,4877.6,0
48.854,134.17,-12.667,0.0075145,4877.6,0
49.354,127.84,-12.663,0.0078181,4877.6,0
49.854,121.51,-12.658,0.0089254,4877.6,0
50.354,115.18,-12.655,0.0062486,4877.6,0
50.854,108.85,-12.652,0.0072108,4877.6,0
51.354,102.53,-12.648,0.0077452,4877.6,0
51.854,96.206,-12.644,0.0077671,4877.6,0
52.354,89.885,-12.64,0.007198,4877.6,0
52.854,83.566,-12.636,0.0087426,4877.6,0
53.354,77.249,-12.633,0.0069903,4877.6,0
53.854,70.934,-12.629,0.0069565,4877.6,0
54.354,64.62,-12.625,0.0072208,4877.6,0
54.854,58.308,-12.622,0.0073903,4877.6,0
55.354,51.998,-12.618,0.0074705,4877.6,0
55.854,45.69,-12.614,0.0079136,4877.6,0
56.354,39.384,-12.61,0.0079438,4877.6,0
56.854,33.08,-12.607,0.0068921,4877.6,0
57.354,26.778,-12.603,0.0082853,4877.6,0
57.854,20.478,-12.598,0.0096906,4877.6,0
58.354,14.18,-12.595,0.005506,4877.6,0
58.854,7.8829,-12.591,0.0069764,4877.6,0
59.354,1.5881,-12.588,0.0068736,4877.6,0
59.854,-4.705,-12.584,0.007149,4877.6,0
