"Time","accel","alt"
8,-17.0369559618463,-99.6151987128784
8.01,-8.92680973563398,1.97882929974
8.02,-4.43751610798396,-170.680450912759
8.03,0.386398812958912,-45.437824545916
8.04,-1.22326420371018,153.835316010749
8.05,-0.120542140857958,272.777550168089
8.06,15.621087526708,128.849388906061
8.07,12.5280458392709,-8.7853538299624
8.08,12.1458941677597,-78.0075822289976
8.09,22.900828326233,112.339696414117
8.1,29.3223173439037,95.1638131912842
8.11,26.5140681358501,-1.82528008652272
8.12,24.5408086297998,-124.604889022869
8.13,26.0811796270193,-122.664571175338
8.14,26.0731386483317,88.5852261004343
8.15,18.6067259492764,-98.1013366810743
8.16,24.0075099162466,-116.313460239836
8.17,19.988640042462,71.8586749274412
8.18,24.2143393689661,-173.850069669734
8.19,20.0560466143735,17.4905669326206
8.2,28.2232998060424,87.7058592770221
8.21,27.7887095067993,-244.532030702005
8.22,17.8061447896782,178.974744786565
8.23,25.5603725534683,-259.791373489252
8.24,22.5432490108655,-23.0442081262732
8.25,25.5619700843806,3.04813456847771
8.26,28.1526652246099,-67.8842124147377
8.27,22.4190528022309,33.8722591390851
8.28,26.1547004484438,45.3253997088511
8.29,24.7985788843546,-73.8517647578216
8.3,26.7692378716274,-15.4666478870762
8.31,23.0754963071903,25.3332862218225
8.32,22.7038059189627,42.8104742776842
8.33,19.389337559314,38.0152442839423
8.34,30.9268253414866,95.5891947691275
8.35,17.3098606792462,-63.8544430003524
8.36,28.2709317977634,-9.67984852406281
8.375,22.2885629020033,97.5142049935849
8.3975,26.8024601020075,-136.904022273229
8.4312,28.3475651169452,-20.6757985247436
8.4812,27.0709069151501,-26.4374032542717
8.5312,25.0059609609795,185.918036867747
8.5812,27.0222463821532,23.3015565501148
8.6312,29.9516536752968,-48.1774043207548
8.6812,25.1438270230038,-118.984860786979
8.7312,29.1928849719119,63.9096366088687
8.7812,29.7403281201447,15.8166895207405
8.8312,29.3611425064507,-16.7070248282186
8.8812,21.8011764013702,-141.4578425519
8.9312,23.5781110432191,-135.522930039121
8.9813,34.8690812372858,-47.555346746181
9.0313,23.1792657723828,-92.9764456867018
9.0813,20.4371406993088,13.1646734242264
9.1313,23.6198179743701,-47.1656914471915
9.1813,29.3073060045656,-35.6063057666177
