# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Thrust (N)
38.868,261.9,-16.216,0.12143,4877.6,0
38.918,261.09,-16.209,0.15205,4877.6,0
38.968,260.28,-16.2,0.17777,4877.6,0
39.018,259.47,-16.191,0.18953,4877.6,0
39.068,258.66,-16.181,0.20479,4877.6,0
39.118,257.85,-16.171,0.20818,4877.6,0
39.168,257.04,-16.161,0.19823,4877.6,0
39.218,256.23,-16.151,0.19044,4877.6,0
39.268,255.43,-16.142,0.17973,4877.6,0
39.318,254.62,-16.133,0.1752,4877.6,0
39.368,253.81,-16.125,0.15603,4877.6,0
39.418,253.01,-16.118,0.10968,4877.6,0
39.468,252.2,-16.114,0.063891,4877.6,0
39.518,251.4,-16.111,0.037001,4877.6,0
39.568,250.59,-16.11,-0.0029713,4877.6,0
39.618,249.78,-16.112,-0.049991,4877.6,0
39.668,248.98,-16.115,-0.074167,4877.6,0
39.718,248.17,-16.119,-0.090578,4877.6,0
39.768,247.37,-16.124,-0.10713,4877.6,0
39.818,246.56,-16.13,-0.12783,4877.6,0
39.868,245.75,-16.137,-0.1634,4877.6,0
39.918,244.95,-16.146,-0.2065,4877.6,0
39.968,244.14,-16.157,-0.2434,4877.6,0
40.018,243.33,-16.17,-0.27005,4877.6,0
40.031,243.13,-15.977,19.878,4877.6,0
40.041,242.97,-15.784,19.05,4877.6,0
40.051,242.81,-15.592,18.237,4877.6,0
40.062,242.64,-15.402,17.436,4877.6,0
40.074,242.47,-15.214,16.628,4877.6,0
40.085,242.29,-15.027,15.834,4877.6,0
40.098,242.1,-14.842,15.054,4877.6,0
40.11,241.92,-14.659,14.288,4877.6,0
40.124,241.72,-14.478,13.563,4877.6,0
40.138,241.52,-14.299,12.86,4877.6,0
40.152,241.31,-14.122,12.171,4877.6,0
40.167,241.1,-13.948,11.498,4877.6,0
40.183,240.88,-13.777,10.845,4877.6,0
40.2,240.66,-13.609,10.208,4877.6,0
40.217,240.42,-13.443,9.5857,4877.6,0
40.235,240.18,-13.281,8.9237,4877.6,0
40.254,239.93,-13.122,8.275,4877.6,0
40.275,239.66,-12.967,7.6499,4877.6,0
40.296,239.39,-12.816,7.0719,4877.6,0
40.318,239.1,-12.669,6.51,4877.6,0
40.342,238.8,-12.527,5.919,4877.6,0
40.368,238.48,-12.391,5.333,4877.6,0
40.395,238.14,-12.26,4.7987,4877.6,0
40.424,237.79,-12.135,4.2972,4877.6,0
40.455,237.41,-12.017,3.8072,4877.6,0
40.488,237.02,-11.907,3.3369,4877.6,0
40.524,236.6,-11.804,2.8991,4877.6,0
40.562,236.16,-11.71,2.4848,4877.6,0
40.602,235.68,-11.626,2.087,4877.6,0
40.646,235.18,-11.552,1.7002,4877.6,0
40.692,234.65,-11.487,1.4108,4877.6,0
40.74,234.09,-11.431,1.1475,4877.6,0
40.792,233.5,-11.386,0.87303,4877.6,0
40.847,232.88,-11.353,0.60465,4877.6,0
40.906,232.2,-11.333,0.33541,4877.6,0
40.972,231.46,-11.33,0.047641,4877.6,0
41.043,230.65,-11.342,-0.17424,4877.6,0
41.12,229.78,-11.368,-0.33249,4877.6,0
41.203,228.84,-11.409,-0.49246,4877.6,0
41.291,227.82,-11.459,-0.56489,4877.6,0
41.386,226.73,-11.52,-0.64373,4877.6,0
41.491,225.53,-11.596,-0.72571,4877.6,0
41.608,224.16,-11.69,-0.80606,4877.6,0
41.74,222.61,-11.801,-0.83877,4877.6,0
41.886,220.87,-11.919,-0.80479,4877.6,0
42.048,218.94,-12.036,-0.72676,4877.6,0
42.233,216.7,-12.158,-0.65859,4877.6,0
42.456,213.98,-12.29,-0.59149,4877.6,0
42.719,210.73,-12.411,-0.45976,4877.6,0
43.016,207.02,-12.504,-0.31271,4877.6,0
43.384,202.42,-12.583,-0.21653,4877.6,0
43.884,196.11,-12.66,-0.15361,4877.6,0
44.384,189.77,-12.689,-0.058087,4877.6,0
44.884,183.42,-12.693,-0.0088625,4877.6,0
45.384,177.08,-12.692,0.0033292,4877.6,0
45.884,170.73,-12.688,0.0079629,4877.6,0
46.384,164.39,-12.685,0.0058804,4877.6,0
46.884,158.05,-12.68,0.0089231,4877.6,0
47.384,151.71,-12.677,0.006172,4877.6,0
47.884,145.37,-12.674,0.0073388,4877.6,0
48.384,139.03,-12.67,0.0077895,4877.6,0
48.884,132.7,-12.666,0.0074263,4877.6,0
49.384,126.37,-12.662,0.0075087,4877.6,0
49.884,120.04,-12.657,0.01108,4877.6,0
50.384,113.71,-12.654,0.0050294,4877.6,0
50.884,107.38,-12.649,0.010506,4877.6,0
51.384,101.06,-12.646,0.0060557,4877.6,0
51.884,94.739,-12.643,0.0066015,4877.6,0
52.384,88.418,-12.638,0.0087814,4877.6,0
52.884,82.1,-12.635,0.006225,4877.6,0
53.384,75.783,-12.632,0.0064131,4877.6,0
53.884,69.468,-12.628,0.0076545,4877.6,0
54.384,63.155,-12.625,0.0072554,4877.6,0
54.884,56.844,-12.621,0.0072734,4877.6,0
55.384,50.535,-12.616,0.010326,4877.6,0
55.884,44.228,-12.612,0.0070136,4877.6,0
56.384,37.922,-12.609,0.006644,4877.6,0
56.884,31.62,-12.602,0.013961,4877.6,0
57.384,25.319,-12.601,0.0012753,4877.6,0
57.884,19.019,-12.597,0.0084055,4877.6,0
58.384,12.722,-12.594,0.0058909,4877.6,0
58.884,6.4253,-12.591,0.0062054,4877.6,0
59.384,0.13109,-12.586,0.010547,4877.6,0
59.884,-6.1612,-12.583,0.0046336,4877.6,0
